OBJECTID,HUC_10,HUC_8,HUC_6,HUC_4,HUC_2,WSC_CODE,NAME,BASIN,,Natural Region,Cluster,Data_Source,Area_km2,RoadsDensity_m_km2,RailsDensity_m_km2,Trans_Density_m_km2,ServCorridor_Density_m_km2,Indust_density_m2_km2,Resid_density_m2_km2,Imperv_density_m2_km2,Agri_density_m2_km2, Fertil_Density_ha_km2 ,Cattle_Density_n_km2,Energy_Mining_density_m2_km2,Wells_density_m2_km2,Waste__density_m2_km2,SW_use_m3_km2,GW_use_m3_km2,Canal_density_m2_km2,Res_density_m2_km2,Dam_density_n_km2,StreamRoadCrossing_density_n_km2,Pop_Density_n_km2,Harvest_density_m2_km2,Wildfire_density_m2_km2,Riparian_density_km2_km2,RoadsRipDensity_m_km2,ResidRip_density_m2_km2,AgriRip_density_m2_km2,Shape_Length,Shape_Area
51,1101040102,11010401,110104,1101,11,05DD,BRAZEAU RIVER ABOVE SOUTHESK RIVER,NORTH SASKATCHEWAN,,Mixed Alpine,2,GOA,475,0,0,0,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1877,0.129,0,0,0,141903,475212169
52,1101040109,11010401,110104,1101,11,05DD,BRAZEAU RIVER ABOVE RESERVOIR,NORTH SASKATCHEWAN,,Foothills,3,GOA,376,519,0,519,2940,1150,0,13262,0,0,0,1363,3732,22,0,2093,0,505,0,0.1,1,24363518,38378,0.219,151,0,0,177058,375549483
53,1101040105,11010401,110104,1101,11,05DD,BRAZEAU RIVER CANYON,NORTH SASKATCHEWAN,,Foothills,1,GOA,204,398,0,398,1766,79,1215,6164,0,0,0,247,897,0,0,0,0,0,0,0.2,1,7057978,81,0.149,274,2003,0,96670,203521146
54,1101040107,11010401,110104,1101,11,05DD,BRAZEAU RIVER BELOW CARDINAL RIVER,NORTH SASKATCHEWAN,,Foothills,1,GOA,165,626,0,626,1901,301,0,10598,0,0,0,1184,1861,0,0,0,0,0,0,0.4,1,22577681,0,0.193,527,0,0,87883,165395958
55,1101040202,11010402,110104,1101,11,05DD,RUBY CREEK,NORTH SASKATCHEWAN,,Mixed Alpine,3,GOA,109,292,0,292,298,0,0,2174,0,0,0,0,0,0,0,0,0,0,0,0.1,1,0,0,0.121,507,0,0,60009,108617465
56,1101040201,11010402,110104,1101,11,05DD,UPPER CARDINAL RIVER,NORTH SASKATCHEWAN,,Mixed Alpine,3,GOA,231,179,0,179,656,0,0,1572,0,0,0,0,0,0,0,3,0,0,0,0.1,1,0,0,0.142,359,0,0,88766,231272708
57,1101040203,11010402,110104,1101,11,05DD,LOWER CARDINAL RIVER,NORTH SASKATCHEWAN,,Foothills,1,GOA,155,364,0,364,1604,152,0,4272,0,0,0,303,121,0,0,5,0,0,0,0.2,1,0,6825,0.166,341,0,0,77408,154631655
58,1101040302,11010403,110104,1101,11,05DD,WAPIABI CREEK,NORTH SASKATCHEWAN,,Foothills,1,GOA,355,52,0,52,776,0,0,806,0,0,0,58,45,0,0,0,0,0,0,0,1,1125330,1294,0.115,43,0,0,106492,354804100
59,1101040301,11010403,110104,1101,11,05DD,UPPER BLACKSTONE RIVER,NORTH SASKATCHEWAN,,Mixed Alpine,3,GOA,288,116,0,116,937,475,0,1912,0,0,0,32,133,42,0,0,0,0,0,0.1,1,0,0,0.104,87,0,0,103260,287844031
60,1101040304,11010403,110104,1101,11,05DD,CHUNGO CREEK,NORTH SASKATCHEWAN,,Mixed Alpine,3,GOA,188,176,0,176,806,51,0,3351,0,0,0,257,1248,0,0,0,0,0,0,0.2,1,0,61,0.1,156,0,0,81781,187895989
61,1101040305,11010403,110104,1101,11,05DD,BROWN CREEK,NORTH SASKATCHEWAN,,Foothills,1,GOA,248,433,0,433,1285,601,0,9703,0,0,0,1051,2596,0,0,14,0,0,0,0.3,1,3386285,0,0.111,453,0,0,108015,248342725
62,1101040306,11010403,110104,1101,11,05DD,LOWER BLACKSTONE RIVER,NORTH SASKATCHEWAN,,Foothills,1,GOA,168,623,0,623,2425,334,0,10502,0,0,0,1469,832,0,0,6,0,0,0,0.2,1,31519471,0,0.129,245,0,0,63935,168380739
